date,cash_jpy,quantity,position_value_jpy,equity_jpy,gross_equity_jpy,market_weight,usdjpy
2007-01-03,100000.0,0.0,0.0,100000.0,100000.0,0.0,119.33999633789062
2007-01-04,100000.0,0.0,0.0,100000.0,100000.0,0.0,118.83000183105467
2007-01-05,100000.0,0.0,0.0,100000.0,100000.0,0.0,118.69000244140624
2007-01-08,100000.0,0.0,0.0,100000.0,100000.0,0.0,118.69000244140624
2007-01-09,100000.0,0.0,0.0,100000.0,100000.0,0.0,119.3000030517578
2007-01-10,100000.0,0.0,0.0,100000.0,100000.0,0.0,119.51000213623048
2007-01-11,100000.0,0.0,0.0,100000.0,100000.0,0.0,120.3000030517578
2007-01-12,100000.0,0.0,0.0,100000.0,100000.0,0.0,120.3000030517578
2007-01-16,100000.0,0.0,0.0,100000.0,100000.0,0.0,120.79000091552734
2007-01-17,100000.0,0.0,0.0,100000.0,100000.0,0.0,120.62000274658205
2007-01-18,100000.0,0.0,0.0,100000.0,100000.0,0.0,121.26000213623048
2007-01-19,100000.0,0.0,0.0,100000.0,100000.0,0.0,121.20999908447266
2007-01-22,100000.0,0.0,0.0,100000.0,100000.0,0.0,121.62000274658205
2007-01-23,100000.0,0.0,0.0,100000.0,100000.0,0.0,121.68000030517578
2007-01-24,100000.0,0.0,0.0,100000.0,100000.0,0.0,120.87999725341795
2007-01-25,100000.0,0.0,0.0,100000.0,100000.0,0.0,121.62000274658205
2007-01-26,100000.0,0.0,0.0,100000.0,100000.0,0.0,121.41000366210938
2007-01-29,100000.0,0.0,0.0,100000.0,100000.0,0.0,121.7300033569336
2007-01-30,100000.0,0.0,0.0,100000.0,100000.0,0.0,121.68000030517578
2007-01-31,100000.0,0.0,0.0,100000.0,100000.0,0.0,120.73999786376952
2007-02-01,100000.0,0.0,0.0,100000.0,100000.0,0.0,120.8000030517578
2007-02-02,100000.0,0.0,0.0,100000.0,100000.0,0.0,121.12999725341795
2007-02-05,100000.0,0.0,0.0,100000.0,100000.0,0.0,120.19000244140624
2007-02-06,100000.0,0.0,0.0,100000.0,100000.0,0.0,120.0500030517578
2007-02-07,100000.0,0.0,0.0,100000.0,100000.0,0.0,120.58499908447266
2007-02-08,100000.0,0.0,0.0,100000.0,100000.0,0.0,121.12999725341795
